Filing ID;Company;Ticker;CIK;Filing Date;Filing Type;Period End;Fiscal Year;Fiscal Period;SEC Link;Calcbench Published;Data
288376;WALT DISNEY CO/;DIS;1744489;5.5.2014;10-Q;28.3.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1001039/000100103914000154/0001001039-14-000154-index.htm;6.5.2014;TRUE
962190;Verizon Communications Inc;VZ;732712;5.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/732712/000119312514185125/0001193125-14-185125-index.htm;6.5.2014;FALSE
936517;Apple Inc;AAPL;320193;5.5.2014;8-K ;27.6.2014;2014;3;http://www.sec.gov/Archives/edgar/data/320193/000119312514184969/0001193125-14-184969-index.htm;6.5.2014;FALSE
28608;WALT DISNEY CO/;DIS;1744489;5.5.2014;8-K;28.3.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1001039/000100103914000153/0001001039-14-000153-index.htm;6.5.2014;TRUE
288247;FIRSTENERGY CORP;FE;1031296;5.5.2014;10-Q;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000021/0001031296-14-000021-index.htm;6.5.2014;TRUE
288187;MCDONALDS CORP;MCD;63908;5.5.2014;10-Q;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/63908/000006390814000032/0000063908-14-000032-index.htm;6.5.2014;TRUE
28522;NVIDIA CORP;NVDA;1045810;5.5.2014;8-K;26.4.2014;2015;1;http://www.sec.gov/Archives/edgar/data/1045810/000104581014000071/0001045810-14-000071-index.htm;6.5.2014;FALSE
28441;FIRSTENERGY CORP;FE;1031296;5.5.2014;8-K;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000019/0001031296-14-000019-index.htm;6.5.2014;TRUE
28763;PFIZER INC;PFE;78003;4.5.2014;8-K;29.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/78003/000007800314000027/0000078003-14-000027-index.htm;5.5.2014;TRUE
930643;Target Corp;TGT;27419;4.5.2014;8-K ;1.8.2014;2014;2;http://www.sec.gov/Archives/edgar/data/27419/000110465914034312/0001104659-14-034312-index.htm;5.5.2014;FALSE
